Name	lat	lng	population
Portëz	40.69917	19.57444	58
Peza e Madhe	41.2175	19.69611	116
Petrelë	41.25306	19.85306	298
Përparim	41.05	19.79917	88
Perondi	40.77889	19.92306	41
Peqin	41.04611	19.75111	52
Patos Fshat	40.64278	19.65083	157
Patos	40.68333	19.61944	61
Paskuqan	41.35389	19.80667	101
Papër	41.05167	19.96083	85
Pajovë	41.05472	19.8375	63
Otllak	40.74389	19.93528	42
Orikum	40.32528	19.47139	7
Novoselë	40.625	19.46694	6
Nikël	41.44417	19.74833	59
Nicaj-Shosh	42.24444	19.75806	776
Ngraçan	40.64444	19.7925	428
Ndroq	41.26389	19.65583	65
Milot	41.68389	19.71556	23
Memaliaj	40.35167	19.98028	115
Mbrostar-Urë	40.75361	19.57944	33
Manzë	41.42861	19.59306	49
Mamurras	41.5775	19.69222	25
Maminas	41.37917	19.6075	44
Luzi i Vogël	41.1275	19.57389	15
Lushnjë	40.94194	19.705	22
Luftinjë	40.44278	19.95444	432
Libofshë	40.83444	19.55222	7
Lezhë	41.78361	19.64361	7
Levan	40.67611	19.48972	12
Lekbibaj	42.29472	19.93167	318
Lekaj	41.11444	19.60972	34
Laç	41.63556	19.71306	33
Kutë	40.47333	19.76639	141
Kutalli	40.78389	19.78667	23
Kurjan	40.7175	19.74556	116
Kuman	40.72667	19.68667	20
Kuçovë	40.80028	19.91667	58
Kuç	42.03972	19.52528	9
Kryevidh	41.10056	19.5275	119
Krutja e Poshtme	40.87194	19.68083	10
Krujë	41.50917	19.79278	509
Krrabë	41.21556	19.97139	416
Krahës	40.43861	19.84444	209
Kozarë	40.83083	19.90056	28
Kotë	40.38944	19.60222	82
Koplik	42.21361	19.43639	63
Kombësi	41.58167	19.98556	317
Kolonjë	40.82417	19.60389	33
Kolç	41.78667	19.67611	35
Kavajë	41.18556	19.55694	19
Katundi i Ri	41.40306	19.51806	7
Kastrat	42.3525	19.48917	752
Kashar	41.34972	19.71028	202
Karinë	41.06306	19.71611	31
Karbunara e Vogël	40.92194	19.71778	20
Kamëz	41.38167	19.76028	55
Kallmeti i Madh	41.84889	19.68694	61
Kallmet	41.41806	19.82139	132
Kalenjë	40.59	19.77833	508
Kajan	40.91417	19.88944	173
Kaçinar	41.89333	19.89861	430
Ishëm	41.54528	19.6	27
Hysgjokaj	40.97167	19.78972	142
Hot	42.36194	19.44417	91
Himarë	40.10167	19.74472	3
Helmas	41.18028	19.60694	97
Hekal	40.56194	19.73583	336
Hasan	41.48278	19.69972	18
Hajmel	41.95306	19.63778	46
Gurra e Vogël	41.53611	19.99083	512
Guri i Zi	42.045	19.57472	30
Gruemirë	42.15917	19.51889	85
Greshicë	40.55194	19.77833	326
Grekan	40.92944	19.9475	158
Gradishtë	40.88806	19.58583	8
Gracen	41.15194	19.96361	763
Grabjan	40.95306	19.58083	26
Gosë e Madhe	41.09056	19.62472	44
Golem	40.96778	19.68528	32
Gjoçaj	41.02556	19.72389	33
Gjepalaj	41.33306	19.57806	69
Fushëkuqe	41.65028	19.62	-2
Fushë-Krujë	41.47833	19.71778	24
Fratar	40.5	19.81667	288
Frakulla e Madhe	40.65583	19.5025	19
Fier-Shegan	40.86722	19.78528	19
Fier-Çifçi	40.71667	19.56667	17
Fier	40.72389	19.55611	20
Farka e Madhe	41.30556	19.86694	214
Durrës	41.32355	19.45469	6
Drenovë	40.60056	19.70083	514
Divjakë	40.99667	19.52944	-1
Dërmënas	40.74556	19.49389	4
Vau i Dejës	42.01	19.62472	30
Dajt	41.39361	19.91583	654
Dajç	41.99167	19.41056	8
Dajç	41.91556	19.60444	18
Cukalat	40.73028	19.79056	153
Cudhi Zall	41.50944	19.84583	746
Cërrik	41.03167	19.97583	77
Cakran	40.60333	19.62611	86
Bushat	42.11944	19.89972	423
Bubullimë	40.81806	19.64083	8
Bubq	41.47417	19.65167	28
